レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
1,InitMmu(),初期化,関数呼び出し,"モジュールやパラメータを初期化し、実行準備を行う（注記: init cache size here, since this needs to be done in secure mode）","init cache size here, since this needs to be done in secure mode","init cache size here, since this needs to be done in secure mode",,platform/j721e/rtos/c7x_1/main.c,共通/その他
1,StartupEmulatorWaitFxn(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: This address is mapped to a virtual address of 0x0001_0000_0000）,This address is mapped to a virtual address of 0x0001_0000_0000,This address is mapped to a virtual address of 0x0001_0000_0000,tskParams,platform/j721e/rtos/c7x_1/main.c,共通/その他
1,appC7xClecInitDru(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: A copy of this function is in both C7 main files, except the cfgClec.rtMap value）","A copy of this function is in both C7 main files, except the cfgClec.rtMap value","A copy of this function is in both C7 main files, except the cfgClec.rtMap value",tskParams,platform/j721e/rtos/c7x_1/main.c,共通/その他
1,appCacheInit(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: ddr）,ddr,ddr,,platform/j721e/rtos/c7x_1/main.c,共通/その他
1,appMmuMap(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j721e/rtos/c7x_1/main.c,共通/その他
1,setup_dru_qos(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: DRU configuration）,DRU configuration,DRU configuration,tskParams,platform/j721e/rtos/c7x_1/main.c,共通/その他
,srv_bowl_lut_gen_createIntermediateParams(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"in_params, srv_bowl_lut_gen_freeIntermediateParams, srv_bowl_lut_gen_handle, srv_bowl_lut_gen_createParams, createParams, verify_create_params, srv_bowl_lut_gen_setParams, srv_bowl_lut_gen_createIntermediateParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_createNodes(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_bowl_lut_gen_handle, srv_bowl_lut_gen_createParams, createParams, verify_create_params, srv_bowl_lut_gen_setParams, srv_bowl_lut_gen_createIntermediateParams, srv_bowl_lut_gen_freeIntermediateParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_delete(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: srv_bowl_lut_gen_create）,srv_bowl_lut_gen_create,srv_bowl_lut_gen_create,srv_bowl_lut_gen_freeIntermediateParams,applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_free(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_bowl_lut_gen_handle, srv_bowl_lut_gen_createParams, createParams, verify_create_params, srv_bowl_lut_gen_setParams, srv_bowl_lut_gen_createIntermediateParams, srv_bowl_lut_gen_freeIntermediateParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_freeIntermediateParams(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_bowl_lut_gen_handle, srv_bowl_lut_gen_createParams, createParams, verify_create_params, srv_bowl_lut_gen_setParams, srv_bowl_lut_gen_createIntermediateParams, srv_bowl_lut_gen_freeIntermediateParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_freeNodes(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_bowl_lut_gen_handle, srv_bowl_lut_gen_createParams, createParams, verify_create_params, srv_bowl_lut_gen_setParams, srv_bowl_lut_gen_createIntermediateParams, srv_bowl_lut_gen_freeIntermediateParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_bowl_lut_gen_setParams(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"createParams, srv_bowl_lut_gen_createIntermediateParams, srv_bowl_lut_gen_handle, in_params, srv_bowl_lut_gen_freeIntermediateParams, srv_bowl_lut_gen_createParams, verify_create_params, srv_bowl_lut_gen_setParams",applibs/srv_bowl_lut_gen_applib/srv_bowl_lut_gen_applib.c,共通/その他
,srv_calib_createIntermediateParams(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"in_point_detect_params, srv_calib_freeIntermediateParams, srv_calib_handle, srv_calib_createParams, createParams, verify_create_params, srv_calib_setParams, srv_calib_createIntermediateParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_createNodes(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_calib_handle, srv_calib_createParams, createParams, verify_create_params, srv_calib_setParams, srv_calib_createIntermediateParams, srv_calib_freeIntermediateParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_delete(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: srv_calib_create）,srv_calib_create,srv_calib_create,srv_calib_freeIntermediateParams,applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_free(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_calib_handle, srv_calib_createParams, createParams, verify_create_params, srv_calib_setParams, srv_calib_createIntermediateParams, srv_calib_freeIntermediateParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_freeIntermediateParams(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: copying correct camera id to each user data object）,copying correct camera id to each user data object,copying correct camera id to each user data object,"srv_calib_handle, srv_calib_createParams, createParams, verify_create_params, srv_calib_setParams, srv_calib_createIntermediateParams, srv_calib_freeIntermediateParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_freeNodes(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"srv_calib_handle, srv_calib_createParams, createParams, verify_create_params, srv_calib_setParams, srv_calib_createIntermediateParams, srv_calib_freeIntermediateParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,srv_calib_setParams(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"createParams, srv_calib_createIntermediateParams, srv_calib_handle, in_point_detect_params, srv_calib_freeIntermediateParams, srv_calib_createParams, verify_create_params, srv_calib_setParams",applibs/srv_calibration_applib/srv_calibration_applib.c,共通/その他
,ct_read_raw_image(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"dcc_2a_buf, aewb_cfg, ae_awb_params, raw_params",applibs/test/test_vpac_viss_aewb.c,共通/その他
,app_c7x_kernel_main(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: OpenVX references）,OpenVX references,OpenVX references,"AppObj, gAppObj",apps/basic_demos/app_c7x_kernel/main.c,共通/その他
,app_deinit_display1(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, DisplayObj",apps/basic_demos/app_dof/dof_display_module.c,共通/その他
,app_deinit_display2(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, DisplayObj",apps/basic_demos/app_dof/dof_display_module.c,共通/その他
,app_delete_display1(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, DisplayObj",apps/basic_demos/app_dof/dof_display_module.c,共通/その他
,app_delete_display2(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, DisplayObj",apps/basic_demos/app_dof/dof_display_module.c,共通/その他
,app_deinit_dofproc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofprocObj, DofProcObj",apps/basic_demos/app_dof/dof_proc_module.c,共通/その他
,app_delete_dofproc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofprocObj, DofProcObj",apps/basic_demos/app_dof/dof_proc_module.c,共通/その他
,app_deinit_pyramid(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: exemplar not needed any more）,exemplar not needed any more,exemplar not needed any more,"pyramidObj, PyramidObj",apps/basic_demos/app_dof/dof_pyramid_module.c,共通/その他
,app_delete_pyramid(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: exemplar not needed any more）,exemplar not needed any more,exemplar not needed any more,"pyramidObj, PyramidObj",apps/basic_demos/app_dof/dof_pyramid_module.c,共通/その他
,app_deinit_dofviz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"num_buf, dofvizObj, DofVizObj",apps/basic_demos/app_dof/dof_viz_module.c,共通/その他
,app_delete_dofviz(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofvizObj, DofVizObj",apps/basic_demos/app_dof/dof_viz_module.c,共通/その他
,app_dof_main(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: checksums for the confidence image and the flow vector image
  confidence image (at least on plane 0) remains constant through
  the video whereas field vectore changes）","checksums for the confidence image and the flow vector image
    confidence image (at least on plane 0) remains constant through
    the video whereas field vectore changes","checksums for the confidence image and the flow vector image
  confidence image (at least on plane 0) remains constant through
  the video whereas field vectore changes","AppObj, gAppObj, pyramidObj, dofprocObj, dofvizObj, displayObj, display1Obj, display2Obj, num_buf",apps/basic_demos/app_dof/main.c,共通/その他
,app_find_image_array_index(),表示制御,タスクループ,"処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: starting file number + 2 frames required to queue up dof
      + the number of checksums availble）","starting file number + 2 frames required to queue up dof
            + the number of checksums availble","starting file number + 2 frames required to queue up dof
      + the number of checksums availble","Draw2D_Handle, AppObj, gAppObj, PyramidObj, pyramidObj, DofProcObj, dofprocObj, DofVizObj, dofvizObj, DisplayObj",apps/basic_demos/app_dof/main.c,共通/その他
,app_get_file_format_ext(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: * Utility API used to add a グラフ parameter from a ノード, ノード parameter index）","* Utility API used to add a graph parameter from a node, node parameter index","* Utility API used to add a グラフ parameter from a ノード, ノード parameter index","AppObj, pyramidObj, dofprocObj, dofvizObj, displayObj, display1Obj, display2Obj, num_buf",apps/basic_demos/app_dof/main.c,共通/その他
,update_pre_proc_params_display(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, AppObj, pyramidObj, dofprocObj, dofvizObj",apps/basic_demos/app_dof/main.c,共通/その他
,update_pre_proc_params_dofproc(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"dofprocObj, AppObj, DofVizObj, dofvizObj, DisplayObj, displayObj, pyramidObj",apps/basic_demos/app_dof/main.c,共通/その他
,update_pre_proc_params_dofviz(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"dofvizObj, AppObj, DisplayObj, displayObj, pyramidObj, dofprocObj",apps/basic_demos/app_dof/main.c,共通/その他
,update_pre_proc_params_pyramid(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pyramidObj, AppObj, DofProcObj, dofprocObj, DofVizObj, dofvizObj, DisplayObj, displayObj",apps/basic_demos/app_dof/main.c,共通/その他
,AppUtil_netIterSvr(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,apps/basic_demos/app_fd_exchange/apputils_net.c,共通/その他
,App_clientHdlr(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: while (!done)）,while (!done),while (!done),"App_CmdLineParams, clParams, cmdParams",apps/basic_demos/app_fd_exchange/main_producer.c,共通/その他
,App_intSigHandler(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: De-allocate any allocated objects.）,De-allocate any allocated objects.,De-allocate any allocated objects.,"tivxReferenceExportHandle, lastObj",apps/basic_demos/app_fd_exchange/main_producer.c,共通/その他
,App_parseCmdLineArgs(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"clParams, App_CmdLineParams, cmdParams",apps/basic_demos/app_fd_exchange/main_producer.c,共通/その他
,App_showUsage(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: while (!done)）,while (!done),while (!done),"App_CmdLineParams, clParams, cmdParams",apps/basic_demos/app_fd_exchange/main_producer.c,共通/その他
,app_default_param_set(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"sensorObj, displayObj, AppObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj, dmabuf",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_deinit(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"sensorObj, captureObj, vissObj, aewbObj, ldcObj, scalerObj, imgMosaicObj, displayObj, AppObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_delete_graph(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"captureObj, vissObj, aewbObj, ldcObj, scalerObj, imgMosaicObj, displayObj, AppObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_parse_cfg_file(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"sensorObj, captureObj, vissObj, ldcObj, displayObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_parse_cmd_line_args(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, sensorObj, AppObj, gAppObj, sensor_obj, capture_obj, vissObj, viss_obj, aewbObj, aewb_obj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_pipeline_params_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: UNMap CbCr）,UNMap CbCr,UNMap CbCr,"SensorObj, sensorObj, poolObj, AppObj, displayObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_querry_param_set(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"sensorObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj, dmabuf",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_run_task(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, sensorObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_run_task_delete(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"AppObj, captureObj, vissObj, ldcObj, sensorObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_set_cfg_default(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, vissObj, ldcObj, AppObj, sensorObj, displayObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_show_usage(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, sensorObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,app_update_param_set(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: LINUX）,LINUX,LINUX,"appIssGetResizeParams, sensorObj, set_img_mosaic_params, imgMosaicObj, set_codec_pipe_params",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,construct_gst_strings(),その他,タスクループ,一般的な制御ロジックを実行する（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"dmabuf, set_codec_pipe_params, AppObj, codec_pipe_params, appIssGetResizeParams, sensorObj, set_img_mosaic_params, imgMosaicObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,set_codec_pipe_params(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: LINUX）,LINUX,LINUX,"codec_pipe_params, AppObj, appIssGetResizeParams, sensorObj, set_img_mosaic_params, imgMosaicObj, set_codec_pipe_params",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,set_display_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: UNMap CbCr）,UNMap CbCr,UNMap CbCr,"displayObj, AppObj, SensorObj, sensorObj, poolObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,set_img_mosaic_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, dmabuf, set_codec_pipe_params, AppObj, codec_pipe_params",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,set_ref_pool_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"poolObj, AppObj, sensorObj, displayObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,set_sensor_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: UNMap CbCr）,UNMap CbCr,UNMap CbCr,"sensorObj, poolObj, AppObj, displayObj, sensorParams, set_img_mosaic_params, TIOVXImgMosaicModuleObj, imgMosaicObj",apps/basic_demos/app_multi_cam_codec/main.c,共通/その他
,appSingleCamUpdateVpacDcc(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"dcc_buf, AppObj",apps/basic_demos/app_single_cam/app_single_cam_main.c,共通/その他
,app_single_cam_main(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: default to first センサ in センサ enumaration list）,default to first sensor in sensor enumaration list,default to first センサ in センサ enumaration list,"AppObj, gAppObj, app_send_test_frame, tivxCaptureRegisterErrorFrame",apps/basic_demos/app_single_cam/app_single_cam_main.c,共通/その他
,save_debug_images(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,AppObj,apps/basic_demos/app_single_cam/app_single_cam_main.c,共通/その他
,x86_app_deinit(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"IssAeDynamicParams, numAeDynParams, AppObj, raw_params, dcc_buf",apps/basic_demos/app_single_cam/main_x86.c,共通/その他
,x86_app_delete_graph(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: This is needed only in x86 mode）,This is needed only in x86 mode,This is needed only in x86 mode,AppObj,apps/basic_demos/app_single_cam/main_x86.c,共通/その他
,x86_app_init(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, IssAeDynamicParams, numAeDynParams, raw_params, dcc_buf",apps/basic_demos/app_single_cam/main_x86.c,共通/その他
,x86_app_parse_cfg_file(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,AppObj,apps/basic_demos/app_single_cam/main_x86.c,共通/その他
,x86_app_parse_cmd_line_args(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,,apps/basic_demos/app_single_cam/main_x86.c,共通/その他
,app_draw_graphics(),表示制御,タスクループ,"処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: if testing, just 実行する the number of frames that are found in the expected
      checksums + a BUFFER to maintain data integrity (-1 bc of the <= comparison
      in the loop)）","if testing, just run the number of frames that are found in the expected
            checksums + a BUFFER to maintain data integrity (-1 bc of the <= comparison
            in the loop)","if testing, just 実行する the number of frames that are found in the expected
      checksums + a BUFFER to maintain data integrity (-1 bc of the <= comparison
      in the loop)","AppObj, gAppObj",apps/basic_demos/app_stereo/main.c,共通/その他
,app_find_object_array_index(),その他,タスクループ,一般的な制御ロジックを実行する,,,,apps/basic_demos/app_stereo/main.c,共通/その他
,app_stereo_main(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,"AppObj, gAppObj, num_buf, sde_params",apps/basic_demos/app_stereo/main.c,共通/その他
,app_deinit_dof(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofObj, DOFObj",apps/cv_demos/app_sfm/app_dof_module.c,共通/その他
,app_delete_dof(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofObj, DOFObj",apps/cv_demos/app_sfm/app_dof_module.c,共通/その他
,app_deinit_sfm(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"sfmObj, createParams, SFMObj, setCreateParams, SFM_TI_CreateParams",apps/cv_demos/app_sfm/app_sfm_module.c,共通/その他
,app_delete_sfm(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"sfmObj, SFMObj, createParams, setCreateParams, SFM_TI_CreateParams",apps/cv_demos/app_sfm/app_sfm_module.c,共通/その他
,app_find_config_object_array_index(),その他,タスクループ,一般的な制御ロジックを実行する,,,"Draw2D_Handle, app_read_cam_params, AppObj, tivxSFMParams, cur_frame, start_frame",apps/cv_demos/app_sfm/main.c,共通/その他
,app_find_image_object_array_index(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"Draw2D_Handle, app_read_cam_params, AppObj, tivxSFMParams, cur_frame, start_frame",apps/cv_demos/app_sfm/main.c,共通/その他
,update_img_mosaic_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Forcing it to spatial only）,Forcing it to spatial only,Forcing it to spatial only,"scalerObj, imgMosaicObj, AppObj, pyramidObj, dofObj, sfmObj, app_read_cam_params, DisplayObj, displayObj, Draw2D_Handle",apps/cv_demos/app_sfm/main.c,共通/その他
,update_params_dof(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"dofObj, scalerObj, AppObj, SFMObj, sfmObj, ImgMosaicObj, imgMosaicObj, pyramidObj, app_read_cam_params, DisplayObj",apps/cv_demos/app_sfm/main.c,共通/その他
,update_params_pyramid(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"pyramidObj, scalerObj, AppObj, ScalerObj, scalarObj, DOFObj, dofObj, SFMObj, sfmObj, ImgMosaicObj",apps/cv_demos/app_sfm/main.c,共通/その他
,update_params_scalar(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"scalarObj, AppObj, DOFObj, dofObj, scalerObj, SFMObj, sfmObj, ImgMosaicObj, imgMosaicObj, pyramidObj",apps/cv_demos/app_sfm/main.c,共通/その他
,update_params_sfm(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Forcing it to spatial only）,Forcing it to spatial only,Forcing it to spatial only,"sfmObj, scalerObj, AppObj, ImgMosaicObj, imgMosaicObj, pyramidObj, dofObj, app_read_cam_params, DisplayObj, displayObj",apps/cv_demos/app_sfm/main.c,共通/その他
