レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
2,Dpl_init(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: This function is called by _c_int00）,This function is called by _c_int00,This function is called by _c_int00,"AddrTranslateP_Params, addrTranslateParams",platform/j722s/rtos/mcu2_0/generated/ti_dpl_config.c,RTOS(MCU2_0)
2,System_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: finally we initialize all peripheral drivers）,finally we initialize all peripheral drivers,finally we initialize all peripheral drivers,,platform/j722s/rtos/mcu2_0/generated/ti_drivers_config.c,RTOS(MCU2_0)
2,Pinmux_init(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: * Pinmux）,* Pinmux,* Pinmux,"gPinMuxMainDomainCfg, gPinMuxMcuDomainCfg",platform/j722s/rtos/mcu2_0/generated/ti_pinmux_config.c,RTOS(MCU2_0)
2,PowerClock_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/mcu2_0/generated/ti_power_clock_config.c,RTOS(MCU2_0)
2,PowerClock_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/mcu2_0/generated/ti_power_clock_config.c,RTOS(MCU2_0)
3,Module_clockDisable(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/mcu2_0/generated/ti_power_clock_config.c,RTOS(MCU2_0)
3,Module_clockEnable(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/mcu2_0/generated/ti_power_clock_config.c,RTOS(MCU2_0)
3,Module_clockSetFrequency(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/mcu2_0/generated/ti_power_clock_config.c,RTOS(MCU2_0)
,Board_driversClose(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/mcu2_0/generated/ti_board_open_close.c,RTOS(MCU2_0)
,putchar_(),フレーム取得,HW割り込み,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: ----------- DebugP -----------）,----------- DebugP -----------,----------- DebugP -----------,"AddrTranslateP_Params, addrTranslateParams",platform/j722s/rtos/mcu2_0/generated/ti_dpl_config.c,RTOS(MCU2_0)
,System_lateInit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Common Functions）,* Common Functions,* Common Functions,,platform/j722s/rtos/mcu2_0/generated/ti_drivers_config.c,RTOS(MCU2_0)
,Drivers_close(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,"I2C_Handle, gI2cHandle, I2C_Params, gI2cParams",platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
,Drivers_i2cClose(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Exit gracefully）,Exit gracefully,Exit gracefully,gI2cHandle,platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
,Drivers_i2cOpen(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: I2C Driver Parameters）,I2C Driver Parameters,I2C Driver Parameters,"gI2cHandle, gI2cParams",platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
,Drivers_open(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,"I2C_Handle, gI2cHandle, I2C_Params, gI2cParams",platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
,IpcNotify_getConfig(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する,,,tskParams,platform/j722s/rtos/mcu2_0/main.c,RTOS(MCU2_0)
,appMain(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: extern globals that are specific to this core）,extern globals that are specific to this core,extern globals that are specific to this core,tskParams,platform/j722s/rtos/mcu2_0/main.c,RTOS(MCU2_0)
